model,deployment,cost,inputCost,outputCost,cachedCost,otherCost,calls,users,promptTokens,completionTokens,totalTokens,costPerCall,costPerUser,costPer1M
GPT-5.2,gpt-5.2,52.728553149999996,22.83592675,29.8291,0.0635264,0.0,322,113,775868,1567679,2343547,0.1637532706521739,0.466624364159292,22.49946476430812
GPT-5.1,gpt-5.1,38.563925749999996,21.82569375,16.581,0.157232,0.0,176,12,823093,671806,1494899,0.21911321448863633,3.2136604791666663,25.797010868292773
GPT-5.4,gpt-5.4,26.7952705,9.9322225,16.6674,0.195648,0.0,146,27,294194,748494,1042688,0.18352925,0.992417425925926,25.69826304704763
GPT-5.3 Codex,gpt-5.3-codex,2.4674632499999998,0.23768325,2.228436,0.001344,0.0,41,12,140160,134883,275043,0.06018203048780487,0.2056219375,8.97119086833695
GPT-5.2 Codex,gpt-5.2-codex,1.000391,0.054229,0.944594,0.001568,0.0,32,9,41957,70377,112334,0.03126221875,0.11115455555555556,8.905505011839692
GPT-5.4 Mini,gpt-5.4-mini,0.800937,0.034584,0.765873,0.00048,0.0,35,9,48264,143066,191330,0.022883914285714287,0.088993,4.186154811059426
Kimi K2.5,Kimi-K2.5,0.2656458,0.0205938,0.245052,0.0,0.0,19,3,27610,90965,118575,0.013981357894736842,0.08854859999999999,2.2403187855787476
DeepSeek V4 Pro,DeepSeek-V4-Pro,0.19225956,0.07221696,0.1200426,0.0,0.0,21,2,31398,34495,65893,0.009155217142857143,0.09612978,2.9177539344088146
DeepSeek V3.2 Speciale,DeepSeek-V3.2-Speciale,0.13691882,0.02336762,0.1135512,0.0,0.0,26,9,37048,63341,100389,0.005266108461538461,0.015213202222222222,1.3638826963113488
Grok 4.3,grok-4.3,0.074005,0.03181,0.042195,0.0,0.0,15,3,23747,15949,81460,0.004933666666666667,0.024668333333333334,0.9084826908912349
Mistral Large 3,Mistral-Large-3,0.039526,0.0093955,0.0301305,0.0,0.0,13,3,18791,20087,38878,0.0030404615384615383,0.013175333333333332,1.0166675240495908
Grok 4.1 Fast,grok-4-1-fast-non-reasoning,0.037547899999999995,0.0133934,0.0241545,0.0,0.0,32,10,65853,47273,113126,0.0011733718749999998,0.0037547899999999996,0.3319122040910135
